City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Vorontsovka,RU,50.6132,40.3549,62.58,95,100,13.38,overcast clouds
292,Milan,IT,45.4643,9.1895,67.01,77,0,3.0,clear sky
293,Aginskoye,RU,51.1,114.53,60.24,44,6,16.71,clear sky
294,Teya,RU,60.3778,92.6267,50.94,57,13,7.94,few clouds
295,Balkanabat,TM,39.5108,54.3671,82.51,16,0,11.3,clear sky
296,Channel-Port Aux Basques,CA,47.5702,-59.1367,43.63,88,100,20.36,overcast clouds
297,Victoria,HK,22.2855,114.1577,88.97,79,72,8.01,broken clouds
298,Aykhal,RU,66.0,111.5,57.4,34,28,11.79,scattered clouds
299,Hauterive,FR,46.0901,3.4459,57.96,81,4,1.81,clear sky
300,Kanniyakumari,IN,8.0833,77.5667,79.59,82,89,20.62,overcast clouds
301,Vila Velha,BR,-20.3297,-40.2925,73.35,90,20,5.75,few clouds
302,Lagoa,PT,39.05,-27.9833,60.39,83,6,16.62,clear sky
303,Sturgeon Falls,CA,46.3646,-79.9326,68.16,84,89,5.57,light rain
304,Metu,ET,8.3,35.5833,56.79,98,100,2.64,overcast clouds
305,Kendari,ID,-3.945,122.4989,84.11,75,58,0.96,broken clouds
306,Acapulco,MX,16.8634,-99.8901,84.02,61,100,2.3,overcast clouds
307,Manokwari,ID,-0.8667,134.0833,83.23,72,100,10.16,overcast clouds
308,Berdigestyakh,RU,62.0989,126.6992,60.94,62,100,2.77,light rain
309,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,82,13,17.87,few clouds
310,Hlatikulu,SZ,-26.9667,31.3167,40.24,66,0,4.47,clear sky
311,Lakheri,IN,25.6667,76.1667,90.63,22,4,5.21,clear sky
312,Itarema,BR,-2.9248,-39.9167,76.51,88,100,9.06,overcast clouds
313,Bengkulu,ID,-3.8004,102.2655,76.82,87,100,4.47,overcast clouds
314,Piacabucu,BR,-10.4056,-36.4344,75.69,85,4,5.82,clear sky
315,Ruteng,ID,-8.6136,120.4721,70.23,79,100,0.74,overcast clouds
316,Bosaso,SO,11.2842,49.1816,87.33,48,90,6.31,overcast clouds
317,Bambous Virieux,MU,-20.3428,57.7575,71.85,60,40,11.5,scattered clouds
318,Manzanillo,CU,20.3433,-77.1167,77.56,83,100,4.41,overcast clouds
319,Chuy,UY,-33.6971,-53.4616,41.29,74,100,5.55,overcast clouds
320,Dicabisagan,PH,17.0818,122.4157,83.48,76,100,5.77,overcast clouds
321,Bima,ID,-8.4667,118.7167,84.13,71,100,1.5,overcast clouds
322,Dzhebariki-Khaya,RU,62.2167,135.8,50.18,90,100,2.95,overcast clouds
323,Mercedes,AR,-34.6515,-59.4307,39.04,57,49,0.76,scattered clouds
324,Adjumani,UG,3.3779,31.7909,65.93,85,61,2.17,broken clouds
325,Sooke,CA,48.3746,-123.7276,65.82,64,98,1.57,overcast clouds
326,Jennings,US,38.7192,-90.2604,84.22,63,75,10.36,broken clouds
327,Kushiro,JP,42.975,144.3747,52.75,100,75,9.22,mist
328,Saint Petersburg,RU,59.8944,30.2642,51.06,82,0,6.71,clear sky
329,Biak,ID,-0.9131,122.8766,82.06,72,13,1.81,few clouds
330,Shizunai,JP,42.3339,142.3669,51.46,91,100,7.18,overcast clouds
331,Were Ilu,ET,10.6,39.4333,53.65,49,41,5.7,scattered clouds
332,Sri Aman,MY,1.2376,111.4621,84.02,69,49,1.43,scattered clouds
333,Listvyanka,RU,51.8535,104.8693,49.89,89,100,3.53,overcast clouds
334,Nashville,US,36.1659,-86.7844,84.67,57,0,4.61,clear sky
335,Chapais,CA,49.7834,-74.8492,50.43,57,100,5.19,overcast clouds
336,Alvaraes,BR,-3.2208,-64.8042,72.18,99,100,2.84,light rain
337,Itaqui,BR,-29.1253,-56.5531,41.85,81,3,8.77,clear sky
338,Dunmore Town,BS,25.5,-76.65,78.71,73,100,9.6,overcast clouds
339,Raudeberg,NO,61.9875,5.1352,48.87,88,99,14.94,overcast clouds
340,Xinzhou,CN,38.4092,112.7333,71.06,26,0,3.89,clear sky
341,Karpathos,GR,35.507,27.2132,71.56,73,0,26.46,clear sky
342,Bom Jesus,BR,-9.0744,-44.3586,77.56,63,83,3.04,broken clouds
343,Paamiut,GL,61.994,-49.6678,33.35,91,100,3.76,overcast clouds
344,Togur,RU,58.3631,82.8265,52.03,62,100,5.12,overcast clouds
345,Romanovskaya,RU,47.5426,42.0285,64.71,74,100,6.35,overcast clouds
346,Nizwa,OM,22.9333,57.5333,76.1,60,0,3.38,clear sky
