City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Gazanjyk,TM,2022-05-05 18:44:40,39.2446,55.5154,78.71,44,9,11.03
148,Pimentel,PE,2022-05-05 18:44:40,-6.8367,-79.9342,77.29,57,0,17.27
149,Bredasdorp,ZA,2022-05-05 18:44:41,-34.5322,20.0403,59.9,90,30,5.95
150,Wanning,CN,2022-05-05 18:44:41,18.8003,110.3967,76.37,90,94,4.09
151,Makakilo City,US,2022-05-05 18:44:42,21.3469,-158.0858,73.72,73,40,14.97
152,Hilo,US,2022-05-05 18:44:42,19.7297,-155.09,77.29,96,100,0.0
153,Virginia Beach,US,2022-05-05 18:44:43,36.8529,-75.978,71.06,72,46,5.01
154,Constitucion,CL,2022-05-05 18:44:44,-35.3333,-72.4167,60.91,75,96,7.54
155,Qaanaaq,GL,2022-05-05 18:44:44,77.484,-69.3632,19.45,78,5,6.42
156,Rakitnoye,RU,2022-05-05 18:44:45,50.8389,35.8515,41.58,67,2,7.7
157,Kaduqli,SD,2022-05-05 18:44:45,11.0167,29.7167,89.92,37,10,3.65
158,Ponce,PR,2022-05-05 18:44:46,18.073,-66.6185,86.5,71,46,10.31
159,Hobart,AU,2022-05-05 18:44:47,-42.8794,147.3294,57.06,96,100,14.97
160,Tocopilla,CL,2022-05-05 18:44:47,-22.092,-70.1979,69.39,63,21,6.91
161,Namibe,AO,2022-05-05 18:44:48,-15.1961,12.1522,83.03,54,0,8.05
162,Hilton Head Island,US,2022-05-05 18:44:49,32.2163,-80.7526,93.31,47,20,0.0
163,Chernyshevskiy,RU,2022-05-05 18:44:49,63.0128,112.4714,31.93,87,100,10.98
164,Nadym,RU,2022-05-05 18:44:50,65.5333,72.5167,9.72,91,5,4.92
165,Preobrazheniye,RU,2022-05-05 18:44:50,42.9019,133.9064,47.28,86,84,3.27
166,Pipili,IN,2022-05-05 18:44:51,20.1167,85.8333,79.14,78,75,0.0
167,Mar Del Plata,AR,2022-05-05 18:44:52,-38.0023,-57.5575,70.95,52,0,16.11
168,Alyangula,AU,2022-05-05 18:44:52,-13.8483,136.4192,73.27,94,75,0.0
169,Fairhope,US,2022-05-05 18:44:53,30.523,-87.9033,88.25,62,40,13.8
170,Dicabisagan,PH,2022-05-05 18:44:54,17.0818,122.4157,78.13,85,25,6.73
171,Rio Gallegos,AR,2022-05-05 18:43:23,-51.6226,-69.2181,57.25,38,40,17.27
172,Mastic Beach,US,2022-05-05 18:42:29,40.7668,-72.8521,71.42,58,0,10.36
173,San Fernando,PH,2022-05-05 18:44:55,15.0286,120.6898,82.13,79,51,2.91
174,Port-Gentil,GA,2022-05-05 18:44:55,-0.7193,8.7815,82.36,78,20,9.22
175,Shamgarh,IN,2022-05-05 18:44:56,24.1833,75.6333,91.56,22,2,13.96
176,Erzin,TR,2022-05-05 18:44:56,36.9559,36.2,57.18,86,100,1.41
177,Follonica,IT,2022-05-05 18:44:57,42.9263,10.7616,62.02,93,100,8.57
178,Kudahuvadhoo,MV,2022-05-05 18:44:57,2.6708,72.8944,82.36,76,100,12.28
179,Florianopolis,BR,2022-05-05 18:45:58,-27.6146,-48.5012,73.13,63,40,17.27
180,Cidreira,BR,2022-05-05 18:45:58,-30.1811,-50.2056,67.19,66,100,9.4
181,Beeville,US,2022-05-05 18:45:59,28.4008,-97.7483,84.29,65,100,12.66
182,Tasiilaq,GL,2022-05-05 18:46:00,65.6145,-37.6368,28.56,65,44,1.23
183,Riyadh,SA,2022-05-05 18:44:50,24.6877,46.7219,98.74,13,56,4.85
184,Sabang,ID,2022-05-05 18:46:00,5.8933,95.3214,81.57,81,96,21.47
185,Ahipara,NZ,2022-05-05 18:46:01,-35.1667,173.1667,58.37,89,18,5.99
186,Svetlyy,RU,2022-05-05 18:46:01,54.675,20.1347,51.85,96,100,4.41
187,San Patricio,US,2022-05-05 18:46:02,28.017,-97.5169,87.67,66,100,15.82
188,Rawson,AR,2022-05-05 18:46:03,-43.3002,-65.1023,66.38,38,83,8.68
189,Tari,NG,2022-05-05 18:46:03,12.4086,4.4914,78.55,75,100,14.25
190,Davila,PH,2022-05-05 18:46:04,18.4726,120.5763,80.58,79,40,6.08
191,Dalvik,IS,2022-05-05 18:46:05,65.9702,-18.5286,39.13,87,100,3.94
192,Kununurra,AU,2022-05-05 18:46:05,-15.7667,128.7333,78.78,29,75,9.22
193,Omboue,GA,2022-05-05 18:46:06,-1.5746,9.2618,80.02,87,100,8.14
194,Waipawa,NZ,2022-05-05 18:46:07,-41.4122,175.5153,50.31,93,8,4.27
195,Bethel,US,2022-05-05 18:42:18,41.3712,-73.414,72.19,36,0,11.01
